Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Mfg. Part Num,Package,Mfg. Name,MP,Tolerance,Vendor Part Num,Category,Status,Family,MPN,Digi-Key_PN,DK_Datasheet_Link,DK_Detail_Page,Manufacturer
14,"Schottky diode, filled shape",D_Schottky_ALT,D801,D_Schottky,D_SOD-123F,1,~,,,,,,,,,,,,,,
15,Light emitting diode,LED,D501 D502,GREEN,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,2,~,,,,,,,,,,,,,,
16,Fuse,Fuse,F501,500mA,Fuse_clip_Littelfuse_5x20mm,1,~,,,,,,,,,,,,,,
17,Fuse,Fuse,F201 F202 F301 F302 F303 F304 F305 F306 F307 F308 F309 F310,Fuse,Fuse_clip_Littelfuse_5x20mm,12,~,,,,,,,,,,,,,,
18,"Generic screw terminal, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",Screw_Terminal_01x01,J202,BAT_HP_IN+,Screw_mount_Keystone,1,~,,,,,,,,,,,,,,
19,"Generic screw terminal, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",Screw_Terminal_01x01,J203,BAT_HP_IN-,Screw_mount_Keystone,1,~,,,,,,,,,,,,,,
20,"Generic screw terminal, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",Screw_Terminal_01x01,J204,BAT_LP_IN+,Screw_mount_Keystone,1,~,,,,,,,,,,,,,,
21,"Generic screw terminal, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",Screw_Terminal_01x01,J201,BAT_LP_IN-,Screw_mount_Keystone,1,~,,,,,,,,,,,,,,
22,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J502,Conn_02x05_Odd_Even,PinHeader_2x05_P1.27mm_Vertical,1,~,,,,,,,,,,,,,,
23,"Generic screw terminal, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",Screw_Terminal_01x01,J301 J302 J303 J304 J305 J306 J307 J308 J309 J310 J311 J312 J313 J314 J315 J316,Lug Terminal,Screw_mount_Keystone,16,~,,,,,,,,,,,,,,
24,,RB1-125BAG1A,J601,RB1-125BAG1A,WIZNET_RB1-125BAG1A,1,2.18 USD,RB1-125BAG1A,HVQFN-36 NXP Semiconductors,WIZnet,RB1-125BAG1A,,,,,,,,,,
25,"RJ connector, 8P8C (8 positions 8 connected), two LEDs, RJ45, Shielded",RJ45_LED_Shielded,J401 J402,RJ45_LED_Shielded,RJ45_8P8C_90DEG_LEDs,2,~,,,,,,,,,,,,,,
26,USB Micro Type B connector,USB_B_Mini,J501,USB_B_Mini,USB_Mini-B_Lumberg_2486_01_Horizontal,1,~,,,,,,,,,,,,,,
27,"Jumper, normally closed",Jumper,JP701,Jumper,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,,,,,,,,,,,,,,
28,Inductor,L,L801,47uH,Wurth_Inductor_47uH,1,~,,,,,,,,,,,,,,
29,Coupled inductor with ferrite core,L_Core_Ferrite_Coupled,L704,FPT705-200-R,Inductor_Dual_Eaton,1,283-4146-1-ND,,,,,,,,,,,,,,
30,Coupled inductor with ferrite core,L_Core_Ferrite_Coupled,L701 L702 L703,FPT705-230-R,Inductor_Dual_Eaton,3,283-4147-1-ND,,,,,,,,,,,,,,
31,Ferrite bead,Ferrite_Bead,L501 L502,Ferrite_Bead,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,2,~,,,,,,,,,,,,,,
32,"Ferrite bead, small symbol",Ferrite_Bead_Small,L601 L602,Ferrite_Bead_Small,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,2,,,,,,,,,,,,,,,
33,"N-MOSFET transistor, gate/drain/source",Q_NMOS_GDS,Q301 Q302 Q303,NMOS_GDS,VSONP8_custom,3,~,,,,,,,,,,,,,,
34,"N-MOSFET transistor, gate/drain/source",Q_NMOS_GDS,Q201 Q202,Q_NMOS_GDS,VSONP8_custom,2,DMTH6004SK3-13DICT-ND,,,,,,,,,,,,,,
35,"Resistor, US symbol",R_US,R602 R606,0,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,,,,,,,,,,,,,,,
36,"Resistor, US symbol",R_US,R622,10,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,,,,,1%,,,,,,,,,
37,"Resistor, US symbol",R_US,R204 R206 R503 R504 R505 R801,100k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,~,,,,,,,,,,,,,,
38,"Resistor, US symbol",R_US,R502 R605 R607 R608 R611 R612 R613 R614 R615 R624 R625 R626 R803,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,13,~,,,,,,,,,,,,,,
39,"Resistor, US symbol",R_US,R706,11k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,,,,,,,,,,,,,,
40,"Resistor, US symbol",R_US,R623,12.4K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,RC0805FR-0712K4L,,Yageo,,1%,311-12.4KCRCT-ND,,,,,,,,
41,"Resistor, US symbol",R_US,R712,120k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,,,,,,,,,,,,,,
42,"Resistor, US symbol",R_US,R802,133k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,,,,,,,,,,,,,,
43,"Resistor, US symbol",R_US,R601,1M,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,,,,,,,,,,,,,,
44,"Resistor, US symbol",R_US,R201 R202 R301 R302 R303 R304 R305 R306,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,8,~,,,,,,,,,,,,,,
45,"Variable resistor, US symbol",R_Variable_US,R804,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,,,,,,,,,,,,,,
46,"Resistor, US symbol",R_US,R701,2.5k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,,,,,,,,,,,,,,
47,"Resistor, US symbol",R_US,R708 R714,250k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,~,,,,,,,,,,,,,,
48,"Resistor, US symbol",R_US,R207 R208,2k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,~,,,,,,,,,,,,,,
49,"Resistor, US symbol",R_US,R617 R618 R620 R621,33,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4,,RC0805FR-0733RL,,Yageo,,,311-33.0CRCT-ND,,,,,,,,
50,"Resistor, US symbol",R_US,R501 R603 R604,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,~,,,,,,,,,,,,,,
51,"Resistor, US symbol",R_US,R702 R705,4.7k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,~,,,,,,,,,,,,,,
52,"Resistor, US symbol",R_US,R609 R610 R616 R619,49.9,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4,,RC0805FR-0749R9L,,Yageo,,1%,311-49.9CRCT-ND,,,,,,,,
53,"Resistor, US symbol",R_US,R210 R212,500k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,~,,,,,,,,,,,,,,
54,"Resistor, US symbol",R_US,R703,58,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,,,,,,,,,,,,,,
55,"Resistor, US symbol",R_US,R710,620k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,,,,,,,,,,,,,,
56,"Resistor, US symbol",R_US,R506,680,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,,,,,,,,,,,,,,
57,"Resistor, US symbol",R_US,R209 R211,700k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,~,,,,,,,,,,,,,,
58,"Resistor, US symbol",R_US,R704,9.2k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,,,,,,,,,,,,,,
59,"Resistor, US symbol",R_US,R203 R205 R707 R709 R711 R713,900k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,~,,,,,,,,,,,,,,
60,"Push button switch, generic, two pins",SW_Push,SW501,SW_Push,SW_SPST_B3SL-1022P,1,,,,,,,,,,,,,,,
61,,ACS711,U201 U202 U301 U302 U303 U304 U305 U306,ACS711,ACS711,8,620-1482-1-ND,,,,,,,,,,,,,,
62,IC MCU 32BIT 256KB FLASH 48TQFP,ATSAMD21G18A-AUT-dk_Embedded-Microcontrollers,U501,ATSAMD21G18A-MFT,TQFP-48_7x7mm_Pitch0.5mm,1,ATSAMD21G18A-MFTCT-ND,,,,,,,Integrated Circuits (ICs),Active,Embedded - Microcontrollers,ATSAMD21G18A-AUT,ATSAMD21G18A-AUTCT-ND,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590209,/product-detail/en/microchip-technology/ATSAMD21G18A-AUT/ATSAMD21G18A-AUTCT-ND/4878879,Microchip Technology
63,"1A 20V Fixed LDO Linear Regulator, 1.2V, SOT-89/SOT-223/TO-220/TO-252/TO-263",AZ1117-3.3,U705,AZ1117-3.3,SOT-223,1,AZ1117EH-3.3TRG1DICT-ND,,,,,,,,,,,,,,
64,,MIC28510,U801,MIC28510,MIC28510_QFN,1,,,,,,,,,,,,,,,
65,,PI33XX-00,U702,PI3302-00-LGIZ,PI330X,1,1102-1506-ND,,,,,,,,,,,,,,
66,,PI33XX-00,U701 U703 U704,PI3303-00-LGIZ,PI330X,3,1102-1501-ND,,,,,,,,,,,,,,
67,,W5500,U601,W5500,LQFP-48_7x7mm_P0.5mm,1,DOCUMENTATION,W5500,,WIZnet,,,1278-1021-ND,,,,,,,,
68,Two pin crystal,Crystal,Y601,25MHz,Murata_25MHz_XTAL_XRCGB25M000F3M00R0,1,,XRCGB25M000F3M00R0,,Murata,,,490-5578-1-ND,,,,,,,,
69,Two pin crystal,Crystal,Y501,32.7680kHz,Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering,1,~,,,,,,,,,,,,,,





Component Groups:,69
Component Count:,243
Fitted Components:,243
Number of PCBs:,1
Total components:,243
Schematic Version:,
Schematic Date:,
BoM Date:,3/5/2019 8:07:50 PM
Schematic Source:,C:\projects\hyperloop\electrical\LVDC Distribution Board\LVDC Distribution.sch
KiCad Version:,Eeschema (5.0.2)-1
